Name,Agency,State,Unit_acres,Total_acres,year
Snow Mountain Wilderness,FS,CA,60221,60221,1984
South Sierra Wilderness,FS,CA,60280,60280,1984
Southern Nantahala Wilderness,FS,GA,11633,23365,1984
Southern Nantahala Wilderness,FS,NC,11732,23365,1984
Strawberry Crater Wilderness,FS,AZ,10414,10414,1984
Table Rock Wilderness,BLM,OR,5784,5784,1984
Tatoosh Wilderness,FS,WA,15720,15720,1984
The Brothers Wilderness,FS,WA,16297,16297,1984
Thunder Ridge Wilderness,FS,VA,2428,2428,1984
Trapper Creek Wilderness,FS,WA,5963,5963,1984
Trinity Alps Wilderness,FS,CA,537363,537363,1984
Turkey Hill Wilderness,FS,TX,5536,5536,1984
Twin Peaks Wilderness,FS,UT,11436,11436,1984
Upland Island Wilderness,FS,TX,13229,13229,1984
Waldo Lake Wilderness,FS,OR,36868,36868,1984
Wellsville Mountain Wilderness,FS,UT,22843,22843,1984
West Clear Creek Wilderness,FS,AZ,15465,15465,1984
Wet Beaver Wilderness,FS,AZ,6178,6178,1984
William O. Douglas Wilderness,FS,WA,168956,168956,1984
Winegar Hole Wilderness,FS,WY,10663,10663,1984
Wonder Mountain Wilderness,FS,WA,2201,2201,1984
Woodchute Wilderness,FS,AZ,5887,5887,1984
Yosemite Wilderness,NPS,CA,704624,704624,1984
Clifty Wilderness,FS,KY,12371,12371,1985
Big Laurel Branch Wilderness,FS,TN,6365,10811,1986
Brasstown Wilderness,FS,GA,12853,12853,1986
Little Frog Mountain Wilderness,FS,TN,4686,5652,1986
Pond Mountain Wilderness,FS,TN,6935,6935,1986
Raven Cliffs Wilderness,FS,GA,9240,9240,1986
Rich Mountain Wilderness,FS,GA,10790,10790,1986
Sampson Mountain Wilderness,FS,TN,7960,10882,1986
Soldier Creek Wilderness,FS,NE,7802,7802,1986
Tray Mountain Wilderness,FS,GA,10343,10343,1986
Unaka Mountain Wilderness,FS,TN,4472,4472,1986
Big Island Lake Wilderness,FS,MI,5295,5295,1987
Cebolla Wilderness,BLM,NM,61600,61600,1987
Delirium Wilderness,FS,MI,11952,11952,1987
Horseshoe Bay Wilderness,FS,MI,3842,3842,1987
Mackinac Wilderness,FS,MI,11363,11363,1987
McCormick Wilderness,FS,MI,16925,16925,1987
Nordhouse Dunes Wilderness,FS,MI,3271,3271,1987
Rock River Canyon Wilderness,FS,MI,4722,4722,1987
Round Island Wilderness,FS,MI,375,375,1987
Sturgeon River Gorge Wilderness,FS,MI,16744,16744,1987
Sylvania Wilderness,FS,MI,15195,15195,1987
West Malpais Wilderness,BLM,NM,39540,39540,1987
Barbours Creek Wilderness,FS,VA,5507,5507,1988
Congaree National Park Wilderness,NPS,SC,21700,21700,1988
Daniel J. Evans Wilderness,NPS,WA,876447,876447,1988
Mount Rainier Wilderness,NPS,WA,228480,228480,1988
Mountain Lake Wilderness,FS,WV,2721,16525,1988
Rich Hole Wilderness,FS,VA,6532,6532,1988
Rough Mountain Wilderness,FS,VA,9326,9326,1988
Shawvers Run Wilderness,FS,VA,5784,5784,1988
Stephen Mather Wilderness,NPS,WA,638173,638173,1988
Upper Kiamichi River Wilderness,FS,OK,10372,10372,1988
Alta Toquima Wilderness,FS,NV,35581,35581,1989
Arc Dome Wilderness,FS,NV,120555,120551,1989
Boundary Peak Wilderness,FS,NV,10521,10521,1989
Currant Mountain Wilderness,FS,NV,47311,47311,1989
East Humboldts Wilderness,FS,NV,32364,32364,1989
Grant Range Wilderness,FS,NV,52451,52451,1989
Mt. Charleston Wilderness,FS,NV,54641,56819,1989
Mt. Moriah Wilderness,FS,NV,79963,88648,1989
Mt. Rose Wilderness,FS,NV,31183,31183,1989
Quinn Canyon Wilderness,FS,NV,26310,26310,1989
Ruby Mountains Wilderness,FS,NV,92652,92652,1989
Santa Rosa-Paradise Peak Wilderness,FS,NV,32072,32072,1989
Table Mountain Wilderness,FS,NV,92627,92627,1989
Arrastra Mountain Wilderness,BLM,AZ,129800,129800,1990
Aubrey Peak Wilderness,BLM,AZ,15400,15400,1990
Baboquivari Peak Wilderness,BLM,AZ,2040,2040,1990
Bald Knob Wilderness,FS,IL,5800,5800,1990
Bay Creek Wilderness,FS,IL,2760,2760,1990
Big Horn Mountains Wilderness,BLM,AZ,21000,21000,1990
Burden Falls Wilderness,FS,IL,3695,3695,1990
Cabeza Prieta Wilderness,FWS,AZ,803418,803418,1990
Caribou-Speckled Mountain Wilderness,FS,ME,11236,11236,1990
Chuck River Wilderness,FS,AK,74876,74876,1990
Clear Springs Wilderness,FS,IL,4739,4739,1990
Coyote Mountains Wilderness,BLM,AZ,5100,5100,1990
Dos Cabezas Mountains Wilderness,BLM,AZ,11700,11700,1990
Eagletail Mountains Wilderness,BLM,AZ,97880,97880,1990
East Cactus Plain Wilderness,BLM,AZ,14630,14630,1990
Fishhooks Wilderness,BLM,AZ,10500,10500,1990
Garden of the Gods Wilderness,FS,IL,3955,3955,1990
Gibraltar Mountain Wilderness,BLM,AZ,18790,18790,1990
Harcuvar Mountains Wilderness,BLM,AZ,25050,25050,1990
Harquahala Mountains Wilderness,BLM,AZ,22880,22880,1990
Hassayampa River Canyon Wilderness,BLM,AZ,12300,12300,1990
Havasu Wilderness,FWS,AZ,14606,17801,1990
Hells Canyon Wilderness,BLM,AZ,9951,9951,1990
Hummingbird Springs Wilderness,BLM,AZ,31200,31200,1990
Imperial Refuge Wilderness,FWS,AZ,9220,15056,1990
Karta River Wilderness,FS,AK,39917,39917,1990
Kofa Wilderness,FWS,AZ,516200,516200,1990
Kuiu Wilderness,FS,AK,60183,60183,1990
Lusk Creek Wilderness,FS,IL,6352,6352,1990
Mount Nutt Wilderness,BLM,AZ,28080,28080,1990
Mount Tipton Wilderness,BLM,AZ,31520,31520,1990
Mount Wilson Wilderness,BLM,AZ,23900,23900,1990
Muggins Mountain Wilderness,BLM,AZ,7711,7711,1990
Needle's Eye Wilderness,BLM,AZ,8760,8760,1990
New Water Mountains Wilderness,BLM,AZ,24600,24600,1990
North Maricopa Mountains Wilderness,BLM,AZ,63200,63200,1990
North Santa Teresa Wilderness,BLM,AZ,5800,5800,1990
Panther Den Wilderness,FS,IL,821,821,1990
Peloncillo Mountains Wilderness,BLM,AZ,19440,19440,1990
Pleasant/Lemusurier/Inian Islands Wilderness,FS,AK,23083,23083,1990
Rawhide Mountains Wilderness,BLM,AZ,38470,38470,1990
Redfield Canyon Wilderness,BLM,AZ,6600,6600,1990
Sierra Estrella Wilderness,BLM,AZ,14400,14400,1990
Signal Mountain Wilderness,BLM,AZ,13350,13350,1990
South Etolin Wilderness,FS,AK,82593,82593,1990
South Maricopa Mountains Wilderness,BLM,AZ,60100,60100,1990
Swansea Wilderness,BLM,AZ,16400,16400,1990
Table Top Wilderness,BLM,AZ,34400,34400,1990
Tres Alamos Wilderness,BLM,AZ,8300,8300,1990
Trigo Mountain Wilderness,BLM,AZ,30300,30300,1990
Upper Burro Creek Wilderness,BLM,AZ,27440,27440,1990
Wabayuma Peak Wilderness,BLM,AZ,38944,38944,1990
Warm Springs Wilderness,BLM,AZ,112400,112400,1990
White Canyon Wilderness,BLM,AZ,5800,5800,1990
Woolsey Peak Wilderness,BLM,AZ,64000,64000,1990
Blood Mountain Wilderness,FS,GA,7742,7742,1991
Mark Trail Wilderness,FS,GA,16618,16618,1991
Chumash Wilderness,FS,CA,37794,37794,1992
Garcia Wilderness,FS,CA,13992,13992,1992
Matilija Wilderness,FS,CA,29207,29207,1992
Sespe Wilderness,FS,CA,219209,219209,1992
Silver Peak Wilderness,FS,CA,31533,31533,1992
Buffalo Peaks Wilderness,FS,CO,41281,41281,1993
Byers Peak Wilderness,FS,CO,8801,8801,1993
Fossil Ridge Wilderness,FS,CO,32062,32062,1993
Greenhorn Mountain Wilderness,FS,CO,23116,23116,1993
Powderhorn Wilderness,BLM,CO,47980,62742,1993
Powderhorn Wilderness,FS,CO,14762,62742,1993
Ptarmigan Peak Wilderness,FS,CO,12615,12615,1993
Sangre de Cristo Wilderness,FS,CO,179304,219899,1993
Sarvis Creek Wilderness,FS,CO,44345,44345,1993
Uncompahgre Wilderness,BLM,CO,3390,102214,1993
Vasquez Peak Wilderness,FS,CO,13000,13000,1993
Argus Range Wilderness,BLM,CA,65726,65726,1994
Big Maria Mountains Wilderness,BLM,CA,45384,45384,1994
Bigelow Cholla Garden Wilderness,BLM,CA,14645,14645,1994
Bighorn Mountain Wilderness,BLM,CA,26543,38599,1994
Bighorn Mountain Wilderness,FS,CA,12056,38599,1994
Black Mountain Wilderness,BLM,CA,20548,20548,1994
Bright Star Wilderness,BLM,CA,8191,8191,1994
Bristol Mountains Wilderness,BLM,CA,71389,71389,1994
Cadiz Dunes Wilderness,BLM,CA,19935,19935,1994
Carrizo Gorge Wilderness,BLM,CA,14740,14740,1994
Chemehuevi Mountains Wilderness,BLM,CA,85864,85864,1994
Chimney Peak Wilderness,BLM,CA,13140,13140,1994
Chuckwalla Mountains Wilderness,BLM,CA,99548,99548,1994
Cleghorn Lakes Wilderness,BLM,CA,39167,39167,1994
Clipper Mountain Wilderness,BLM,CA,33843,33843,1994
Coso Range Wilderness,BLM,CA,49296,49296,1994
Coyote Mountains Wilderness,BLM,CA,18631,18631,1994
Darwin Falls Wilderness,BLM,CA,8189,8189,1994
Dead Mountains Wilderness,BLM,CA,47158,47158,1994
Death Valley Wilderness,NPS,CA,3057106,3190455,1994
Death Valley Wilderness,NPS,NV,45350,3190455,1994
Domeland Wilderness,BLM,CA,39379,133720,1994
El Paso Mountains Wilderness,BLM,CA,23679,23679,1994
Fish Creek Mountains Wilderness,BLM,CA,21390,21390,1994
Funeral Mountains Wilderness,BLM,CA,25707,25707,1994
Golden Valley Wilderness,BLM,CA,36536,37786,1994
Grass Valley Wilderness,BLM,CA,30186,30186,1994
Havasu Wilderness,FWS,CA,3195,17801,1994
Hollow Hills Wilderness,BLM,CA,22366,22366,1994
Ibex Wilderness,BLM,CA,28822,28822,1994
Imperial Refuge Wilderness,FWS,CA,5836,15056,1994
Indian Pass Wilderness,BLM,CA,32419,43279,1994
Inyo Mountains Wilderness,BLM,CA,125075,199208,1994
Inyo Mountains Wilderness,FS,CA,74133,199208,1994
Jacumba Wilderness,BLM,CA,31358,31358,1994
Kelso Dunes Wilderness,BLM,CA,144915,144915,1994
Kiavah Wilderness,BLM,CA,41000,86245,1994
Kiavah Wilderness,FS,CA,45245,86245,1994
Kingston Range Wilderness,BLM,CA,199739,252149,1994
Little Chuckwalla Mountains Wilderness,BLM,CA,28052,28052,1994
Little Picacho Wilderness,BLM,CA,38216,38216,1994
Malpais Mesa Wilderness,BLM,CA,31906,31906,1994
Manly Peak Wilderness,BLM,CA,12897,12897,1994
Mecca Hills Wilderness,BLM,CA,26356,26356,1994
Mesquite Wilderness,BLM,CA,44804,44804,1994
Mojave Wilderness,NPS,CA,695200,695200,1994
Newberry Mountains Wilderness,BLM,CA,26102,26102,1994
Nopah Range Wilderness,BLM,CA,106623,106623,1994
North Algodones Dunes Wilderness,BLM,CA,25895,25895,1994
North Mesquite Mountains Wilderness,BLM,CA,28955,28955,1994
Old Woman Mountains Wilderness,BLM,CA,165172,165172,1994
Orocopia Mountains Wilderness,BLM,CA,51289,51289,1994
Owens Peak Wilderness,BLM,CA,73868,73868,1994
Pahrump Valley Wilderness,BLM,CA,73726,73726,1994
Palen/McCoy Wilderness,BLM,CA,236488,236488,1994
Palo Verde Mountains Wilderness,BLM,CA,30605,39955,1994
Picacho Peak Wilderness,BLM,CA,8860,8860,1994
Piper Mountain Wilderness,BLM,CA,72192,72192,1994
Piute Mountains Wilderness,BLM,CA,48080,48080,1994
Resting Spring Range Wilderness,BLM,CA,76312,76312,1994
Rice Valley Wilderness,BLM,CA,41777,41777,1994
Riverside Mountains Wilderness,BLM,CA,24004,24004,1994
Rodman Mountains Wilderness,BLM,CA,34264,34264,1994
Sacatar Trail Wilderness,BLM,CA,50451,50451,1994
Saddle Peak Hills Wilderness,BLM,CA,1530,1530,1994
San Gorgonio Wilderness,BLM,CA,39233,104389,1994
Santa Rosa Wilderness,BLM,CA,58878,78576,1994
Sawtooth Mountains Wilderness,BLM,CA,33772,33772,1994
Sheephole Valley Wilderness,BLM,CA,188169,188169,1994
South Nopah Range Wilderness,BLM,CA,17059,17059,1994
Stateline Wilderness,BLM,CA,6964,6964,1994
Stepladder Mountains Wilderness,BLM,CA,83195,83195,1994
Surprise Canyon Wilderness,BLM,CA,24433,24433,1994
Sylvania Mountains Wilderness,BLM,CA,18682,18682,1994
Trilobite Wilderness,BLM,CA,37308,37308,1994
Turtle Mountains Wilderness,BLM,CA,177309,177309,1994
Whipple Mountains Wilderness,BLM,CA,76123,76123,1994
Opal Creek Wilderness,FS,OR,20777,20777,1996
Dugger Mountain Wilderness,FS,AL,9048,9048,1999
Gunnison Gorge Wilderness,BLM,CO,17784,17784,1999
Otay Mountain Wilderness,BLM,CA,16893,16893,1999
Black Ridge Canyons Wilderness,BLM,CO,70380,75479,2000
Black Ridge Canyons Wilderness,BLM,UT,5099,75479,2000
Black Rock Desert Wilderness,BLM,NV,314835,314835,2000
Calico Mountains Wilderness,BLM,NV,64968,64968,2000
East Fork High Rock Canyon Wilderness,BLM,NV,52618,52618,2000
High Rock Canyon Wilderness,BLM,NV,46465,46465,2000
High Rock Lake Wilderness,BLM,NV,59107,59107,2000
Little High Rock Canyon Wilderness,BLM,NV,48355,48355,2000
North Black Rock Range Wilderness,BLM,NV,30648,30648,2000
North Jackson Mountains Wilderness,BLM,NV,23439,23439,2000
Pahute Peak Wilderness,BLM,NV,56890,56890,2000
Priest Wilderness,FS,VA,5994,5994,2000
Sangre de Cristo Wilderness,NPS,CO,40595,219899,2000
South Jackson Mountains Wilderness,BLM,NV,54536,54536,2000
Spanish Peaks Wilderness,FS,CO,19237,19237,2000
Steens Mountain Wilderness,BLM,OR,170202,170202,2000
Three Ridges Wilderness,FS,VA,4611,4611,2000
Arrow Canyon Wilderness,BLM,NV,27502,27502,2002
Black Canyon Wilderness,NPS,NV,17220,17220,2002
Bridge Canyon Wilderness,NPS,NV,7761,7761,2002
Eldorado Wilderness,BLM,NV,5766,32016,2002
Eldorado Wilderness,NPS,NV,26250,32016,2002
Ireteba Peaks Wilderness,BLM,NV,10332,39631,2002
Ireteba Peaks Wilderness,NPS,NV,29299,39631,2002
James Peak Wilderness,FS,CO,17109,17109,2002
Jimbilnan Wilderness,NPS,NV,18879,18879,2002
Jumbo Springs Wilderness,BLM,NV,4760,4760,2002
La Madre Mountain Wilderness,BLM,NV,27896,46943,2002
La Madre Mountain Wilderness,FS,NV,19047,46943,2002
Lime Canyon Wilderness,BLM,NV,23710,23710,2002
Mt. Charleston Wilderness,BLM,NV,2178,56819,2002
Muddy Mountains Wilderness,BLM,NV,44633,48154,2002
Muddy Mountains Wilderness,NPS,NV,3521,48154,2002
Nellis Wash Wilderness,NPS,NV,16423,16423,2002
North McCullough Wilderness,BLM,NV,14779,14779,2002
Pinto Valley Wilderness,NPS,NV,39173,39173,2002
Rainbow Mountain Wilderness,BLM,NV,20184,24783,2002
Rainbow Mountain Wilderness,FS,NV,4599,24783,2002
South McCullough Wilderness,BLM,NV,43996,43996,2002
Spirit Mountain Wilderness,BLM,NV,553,33466,2002
Spirit Mountain Wilderness,NPS,NV,32913,33466,2002
Ventana Wilderness,BLM,CA,719,236726,2002
Wee Thump Joshua Tree Wilderness,BLM,NV,6489,6489,2002
Big Rocks Wilderness,BLM,NV,12930,12930,2004
Clover Mountains Wilderness,BLM,NV,85668,85668,2004
Delamar Mountains Wilderness,BLM,NV,111066,111066,2004
Far South Egans Wilderness,BLM,NV,36299,36299,2004
Fortification Range Wilderness,BLM,NV,30539,30539,2004
Gaylord Nelson Wilderness,NPS,WI,33500,33500,2004
Meadow Valley Range Wilderness,BLM,NV,123508,123508,2004
Mormon Mountains Wilderness,BLM,NV,157716,157716,2004
Mt. Irish Wilderness,BLM,NV,28274,28274,2004
Parsnip Peak Wilderness,BLM,NV,43512,43512,2004
South Pahroc Range Wilderness,BLM,NV,25671,25671,2004
Tunnel Spring Wilderness,BLM,NV,5341,5341,2004
Weepah Spring Wilderness,BLM,NV,51305,51305,2004
White Rock Range Wilderness,BLM,NV,24249,24249,2004
Worthington Mountains Wilderness,BLM,NV,30594,30594,2004
El Toro Wilderness,FS,PR,10244,10244,2005
Ojito Wilderness,BLM,NM,11823,11823,2005
Bald Mountain Wilderness,FS,NV,22374,22374,2006
Becky Peak Wilderness,BLM,NV,18119,18119,2006
Bristlecone Wilderness,BLM,NV,14095,14095,2006
Cache Creek Wilderness,BLM,CA,27296,27296,2006
Cedar Mountain Wilderness Area,BLM,UT,99428,99428,2006
Cedar Roughs Wilderness,BLM,CA,6287,6287,2006
Glastenbury Wilderness,FS,VT,22330,22330,2006
Goshute Canyon Wilderness,BLM,NV,42544,42544,2006
Government Peak Wilderness,BLM,NV,6313,6313,2006
High Schells Wilderness,FS,NV,121467,121449,2006
Highland Ridge Wilderness,BLM,NV,68623,68623,2006
Joseph Battell Wilderness,FS,VT,12336,12336,2006
King Range Wilderness,BLM,CA,42695,42695,2006
Mount Grafton Wilderness,BLM,NV,78754,78754,2006
Mount Lassic Wilderness,FS,CA,7295,7295,2006
Mt. Moriah Wilderness,BLM,NV,8708,88648,2006
Red Mountain Wilderness,FS,NV,20520,20520,2006
Rocks and Islands Wilderness,BLM,CA,6,6,2006
Sanhedrin Wilderness,FS,CA,10666,10666,2006
Shellback Wilderness,FS,NV,36151,36151,2006
South Egan Range Wilderness,BLM,NV,67214,67214,2006
South Fork Eel River Wilderness,BLM,CA,12868,12868,2006
White Pine Range Wilderness,FS,NV,40041,40041,2006
Wild River Wilderness,FS,NH,24032,24032,2006
Yolla Bolly-Middle Eel Wilderness,BLM,CA,8433,182299,2006
Yuki Wilderness,BLM,CA,17196,56339,2006
Yuki Wilderness,FS,CA,39143,56339,2006
Wild Sky Wilderness,FS,WA,105555,105555,2008
Agua Tibia Wilderness,BLM,CA,539,17975,2009
Beartrap Canyon Wilderness,BLM,UT,40,40,2009
Beauty Mountain Wilderness,BLM,CA,15628,15628,2009
Beaver Basin Wilderness,NPS,MI,11740,11740,2009
Big Draft Wilderness,FS,WV,5147,5147,2009
Big Jacks Creek Wilderness,BLM,ID,52753,52753,2009
Blackridge Wilderness,BLM,UT,13107,13107,2009
Bruneau-Jarbidge Rivers Wilderness,BLM,ID,89820,89820,2009
Brush Mountain East Wilderness,FS,VA,3745,3745,2009
Brush Mountain Wilderness,FS,VA,4795,4795,2009
Cahuilla Mountain Wilderness,FS,CA,5575,5575,2009
Canaan Mountain Wilderness,BLM,UT,44447,44447,2009
Clackamas Wilderness,FS,OR,9474,9474,2009
Copper Salmon Wilderness,FS,OR,13724,13724,2009
Cottonwood Canyon Wilderness,BLM,UT,11667,11667,2009
Cottonwood Forest Wilderness,FS,UT,2648,2648,2009
Cougar Canyon Wilderness,BLM,UT,10648,10648,2009
Deep Creek North Wilderness,BLM,UT,4478,4478,2009
Deep Creek Wilderness,BLM,UT,3291,3291,2009
Doc's Pass Wilderness,BLM,UT,18216,18216,2009
Dominguez Canyon Wilderness,BLM,CO,66280,66280,2009
Garden Mountain Wilderness,FS,VA,3331,3331,2009
Goose Creek Wilderness,BLM,UT,93,93,2009
Granite Mountain Wilderness,BLM,CA,31059,31059,2009
Hunting Camp Creek Wilderness,FS,VA,8471,8471,2009
John Krebs Wilderness,NPS,CA,39740,39740,2009
LaVerkin Creek Wilderness,BLM,UT,453,453,2009
Little Jacks Creek Wilderness,BLM,ID,50930,50930,2009
Lower White River Wilderness,BLM,OR,1124,2871,2009
Lower White River Wilderness,FS,OR,1747,2871,2009
Magic Mountain Wilderness,FS,CA,11938,11938,2009
North Fork Owyhee Wilderness,BLM,ID,43391,43360,2009
Oregon Badlands Wilderness,BLM,OR,29182,29182,2009
Owens River Headwaters Wilderness,FS,CA,14698,14698,2009
Owyhee River Wilderness,BLM,ID,267137,266346,2009
Pinto Mountains Wilderness,BLM,CA,24348,24348,2009
Pleasant View Ridge Wilderness,FS,CA,26839,26839,2009
Pole Creek Wilderness,BLM,ID,12535,12530,2009
Raccoon Branch Wilderness,FS,VA,4225,4225,2009
Red Butte Wilderness,BLM,UT,1535,1535,2009
Red Mountain Wilderness,BLM,UT,18689,18689,2009
Roaring Plains West Wilderness,FS,WV,6794,6794,2009
Roaring River Wilderness,FS,OR,36548,36548,2009
Rocky Mountain National Park Wilderness,NPS,CO,249126,249126,2009
Sabinoso Wilderness,BLM,NM,29242,29242,2009
Slaughter Creek Wilderness,BLM,UT,4047,4047,2009
Soda Mountain Wilderness,BLM,OR,24707,24707,2009
South Fork San Jacinto Wilderness,FS,CA,20158,20158,2009
Spice Run Wilderness,FS,WV,6037,6037,2009
Spring Basin Wilderness,BLM,OR,6404,6404,2009
Stone Mountain Wilderness,FS,VA,3273,3273,2009
Taylor Creek Wilderness,BLM,UT,35,35,2009
White Mountains Wilderness,BLM,CA,24162,229953,2009
White Mountains Wilderness,FS,CA,205791,229953,2009
Zion Wilderness,NPS,UT,124406,124406,2009
Elkhorn Ridge Wilderness,BLM,CA,11001,11001,2011
Columbine-Hondo Wilderness,FS,NM,44372,44372,2014
Hermosa Creek Wilderness,FS,CO,37211,37211,2014
Pine Forest Range Wilderness,BLM,NV,24015,24015,2014
Sleeping Bear Dunes Wilderness,NPS,MI,32557,32557,2014
Wovoka Wilderness,FS,NV,49018,49018,2014
Cecil D. Andrus-White Clouds Wilderness,BLM,ID,449,90775,2015
Cecil D. Andrus-White Clouds Wilderness,FS,ID,90326,90775,2015
Hemingway-Boulders Wilderness,FS,ID,67981,67981,2015
Jim McClure-Jerry Peak Wilderness,BLM,ID,23916,116986,2015
Jim McClure-Jerry Peak Wilderness,FS,ID,93070,116986,2015
Big Frog Wilderness,FS,TN,348,8480,2018
Big Laurel Branch Wilderness,FS,TN,4446,10811,2018
Joyce Kilmer-Slickrock Wilderness,FS,TN,1836,19246,2018
Little Frog Mountain Wilderness,FS,TN,966,5652,2018
Sampson Mountain Wilderness,FS,TN,2922,10882,2018
Upper Bald River Wilderness,FS,TN,9038,9038,2018
Aden Lava Flow Wilderness,BLM,NM,27673,27673,2019
Ah-shi-sle-pah Wilderness,BLM,NM,7242,7242,2019
Arc Dome Wilderness,FS,NV,-4,120551,2019
Avawatz Mountains Wilderness,BLM,CA,89500,89500,2019
Big Wild Horse Mesa Wilderness,BLM,UT,18192,18192,2019
Bisti/De-Na-Zin Wilderness,BLM,NM,2250,43420,2019
Broad Canyon Wilderness,BLM,NM,13902,13902,2019
Buzzards Peak Wilderness,BLM,CA,11840,11840,2019
Cerro del Yuta Wilderness,BLM,NM,13420,13420,2019
Cinder Cone Wilderness,BLM,NM,16935,16935,2019
Cold Wash Wilderness,BLM,UT,11001,11001,2019
Death Valley Wilderness,NPS,CA,87999,3190455,2019
Desolation Canyon Wilderness,BLM,UT,142996,142996,2019
Devil's Canyon Wilderness,BLM,UT,8675,8675,2019
Devils Staircase Wilderness,BLM,OR,7107,31107,2019
Devils Staircase Wilderness,FS,OR,24000,31107,2019
Eagle Canyon Wilderness,BLM,UT,13832,13832,2019
East Potrillo Mountains Wilderness,BLM,NM,12155,12155,2019
Flatside Wilderness,FS,AR,640,10181,2019
Golden Valley Wilderness,BLM,CA,1250,37786,2019
Great Falls Basin Wilderness,BLM,CA,7810,7810,2019
High Schells Wilderness,FS,NV,-18,121449,2019
Horse Valley Wilderness,BLM,UT,12201,12201,2019
Indian Pass Wilderness,BLM,CA,10860,43279,2019
Kingston Range Wilderness,BLM,CA,52410,252149,2019
Labyrinth Canyon Wilderness,BLM,UT,54643,54643,2019
Little Ocean Draw Wilderness,BLM,UT,20660,20660,2019
Little Wild Horse Canyon Wilderness,BLM,UT,5479,5479,2019
Lower Last Chance Wilderness,BLM,UT,19339,19339,2019
Mexican Mountain Wilderness,BLM,UT,76413,76413,2019
Middle Wild Horse Mesa Wilderness,BLM,UT,16343,16343,2019
Milpitas Wash Wilderness,BLM,CA,17250,17250,2019
Mount Riley Wilderness,BLM,NM,8382,8382,2019
Mt. Moriah Wilderness,FS,NV,-23,88648,2019
Muddy Creek Wilderness,BLM,UT,98023,98023,2019
Nelson Mountain Wilderness,FS,UT,7433,7433,2019
North Fork Owyhee Wilderness,BLM,ID,-31,43360,2019
Organ Mountains Wilderness,BLM,NM,19916,19916,2019
Owyhee River Wilderness,BLM,ID,-791,266346,2019
Palo Verde Mountains Wilderness,BLM,CA,9350,39955,2019
Pole Creek Wilderness,BLM,ID,-5,12530,2019
Potrillo Mountains Wilderness,BLM,NM,105085,105085,2019
Red's Canyon Wilderness,BLM,UT,17325,17325,2019
Rio San Antonio Wilderness,BLM,NM,8120,8120,2019
Robledo Mountains Wilderness,BLM,NM,16776,16776,2019
San Gorgonio Wilderness,FS,CA,7141,104389,2019
San Rafael Reef Wilderness,BLM,UT,60442,60442,2019
Sid's Mountain Wilderness,BLM,UT,49130,49130,2019
Sierra de las Uvas Wilderness,BLM,NM,11114,11114,2019
Soda Mountains Wilderness,BLM,CA,80090,80090,2019
Turtle Canyon Wilderness,BLM,UT,29029,29029,2019
Whitethorn Wilderness,BLM,NM,9616,9616,2019
